"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000251562"	52.9158827410388	3.23193085129263e-12	6.79513461484275e-08	0.737109462399123	0.395124097277299	0.566116779838211	6.48898235239643	0.087241164571894	-0.614035385327517	"SLC3A2"
"ENSG00000169946"	38.9571159526031	3.4719203665892e-09	3.6498562853769e-05	-0.454572495805837	-2.29153005716886	-1.37305127648735	-2.92998717819603	0.46861162279669	-0.191663427531431	"MIX23"
"ENSG00000123560"	37.6934935607775	6.5307321406893e-09	4.57695477526642e-05	1.90144328853361	1.13250937703406	1.51697633278383	7.73335375951282	0.196156610076415	1.10075003061463	"JMY"
"ENSG00000064989"	26.3173372160006	1.92869180136513e-06	0.00675845752061697	-0.848783029794025	-2.11075995935073	-1.47977149457238	-4.59643717215917	0.321932890193037	0.184638091104946	"PLEKHA8"
"ENSG00000236383"	26.6066805839156	1.668909244462e-06	0.00675845752061697	2.22047681785582	1.16233529603963	1.69140605694772	6.26588199499141	0.269934061687804	1.5792165072703	"WDR46"
"ENSG00000171587"	26.4988903592093	1.76132325918302e-06	0.00675845752061697	-0.176017959971032	-0.819044728091437	-0.497531344031234	-3.03297953934768	0.164037440847042	-0.162912352430442	"LINC00602"
"ENSG00000127946"	25.6422953245587	2.7030016985403e-06	0.00811865867311569	2.50584574816436	0.511685984474422	1.50876586631939	2.96578720815988	0.508714225431107	0.770143643095112	"ADAM15"
"ENSG00000101040"	25.0366349910773	3.65901162242411e-06	0.00961633992018338	2.38343531740882	1.14475434278521	1.76409483009702	5.58265187427147	0.31599004454684	0.529434784116508	"LINC00870"
"ENSG00000225783"	23.2048001799913	9.14411467997668e-06	0.0213616679051677	1.73023459283392	0.8728477181033	1.30154115546861	5.9505781212632	0.218721141512912	1.98463572595698	"LOC124904620"
"ENSG00000185053"	22.5740807944026	1.25343159730937e-05	0.0263533993334295	2.1931673841711	0.917290391262964	1.55522888771703	4.7781919802376	0.325478824721464	0.65184471503594	"SLC24A2"
"ENSG00000167996"	22.0283489099772	1.64666331973755e-05	0.0314737239068018	-0.514848106422711	-1.67695633807977	-1.09590222225124	-3.69660729986758	0.296456181545167	-0.336880433634339	"ZNF528"
"ENSG00000080824"	21.2011700931413	2.49014369687438e-05	0.0436293926889865	0.94126967077314	0.436506687242179	0.68888817900766	5.34982185415177	0.128766067227286	-0.181345863236889	"MIR3667HG"
"ENSG00000001626"	20.977696169546	2.78452521696279e-05	0.0450343405281867	-0.170894624621187	-0.739463794670363	-0.455179209645775	-3.13817528073133	0.14504315562479	-2.00808462445946	"OSMR"
"ENSG00000152910"	17.2630389171364	3.25456403660056e-05	0.0467686108065737	1.06832202000137	0.435969768858271	0.75214589442982	4.66252428622576	0.161314349781402	1.50531899694468	"RTL8B"
"ENSG00000108342"	17.2157179155083	3.33664286372702e-05	0.0467686108065737	0	0	0	0	0	-3.2056061722794	"LEMD1-AS1"
